               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.045387,           0.0098281,            0.006487,             0.96726,                   1,               0.995,             0.71578,            0.028704,           0.0056272,           0.0039716,            0.007822,            0.007822,            0.007822
                 112,            0.037246,            0.011021,            0.010279,             0.96726,                   1,               0.995,             0.71578,            0.028704,           0.0056272,           0.0039716,           0.0078022,           0.0078022,           0.0078022
                 113,            0.031081,            0.010103,           0.0085169,              0.9822,             0.99322,               0.995,             0.76119,            0.024613,           0.0054095,           0.0039114,           0.0077824,           0.0077824,           0.0077824
                 114,             0.03158,            0.008844,             0.01084,             0.97259,                   1,               0.995,             0.59985,             0.03846,           0.0056987,           0.0038395,           0.0077626,           0.0077626,           0.0077626
                 115,            0.042404,           0.0095712,            0.007135,             0.98425,                   1,               0.995,             0.70148,            0.029397,           0.0054703,           0.0038541,           0.0077428,           0.0077428,           0.0077428
                 116,            0.038869,           0.0099342,           0.0075436,             0.98425,                   1,               0.995,             0.70148,            0.029397,           0.0054703,           0.0038541,            0.007723,            0.007723,            0.007723
                 117,            0.035574,             0.01287,           0.0086653,             0.99551,                   1,               0.995,             0.78676,            0.028016,           0.0054183,           0.0039196,           0.0077032,           0.0077032,           0.0077032
                 118,            0.035806,           0.0096673,           0.0072064,             0.66032,               0.975,             0.85201,             0.48637,            0.037496,           0.0055413,            0.003761,           0.0076834,           0.0076834,           0.0076834
                 119,            0.041132,            0.010813,           0.0078329,             0.74609,                   1,             0.98112,             0.69943,            0.029234,           0.0054126,           0.0038034,           0.0076636,           0.0076636,           0.0076636
                 120,            0.035016,             0.01143,           0.0067566,             0.74609,                   1,             0.98112,             0.69943,            0.029234,           0.0054126,           0.0038034,           0.0076438,           0.0076438,           0.0076438
                 121,            0.034884,           0.0096017,            0.010251,             0.74394,                   1,             0.97848,             0.69071,            0.029464,           0.0054812,           0.0038808,            0.007624,            0.007624,            0.007624
